Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
31300,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Below the national average
31301,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
31302,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,2,Not Available,Not Available,Below the national average,Not Available,Not Available,Same as the national average,Same as the national average
31304,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Same as the national average
31305,AZ,Critical Access Hospitals,Tribal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31307,AZ,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31308,AZ,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31309,AZ,Critical Access Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31311,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average,Not Available
31312,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
31313,AZ,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Above the national average,Same as the national average
31314,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
31315,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
