,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
247,40088,AR,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,922,14.4,13.3,15.7,2,4,4,3,3,4,5,3
248,40114,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,6707,15.4,14.7,16.1,3,2,2,3,3,3,4,2
249,40118,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average,No Different Than the National Rate,4041,16.2,15.3,17.1,3,2,3,3,3,4,4,3
250,40119,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Better Than the National Rate,2283,13.9,13,15.3,3,3,3,4,3,3,4,4
252,40134,AR,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3106,17.3,15.8,18.3,5,4,4,3,5,5,5,5
257,40154,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,990,15.3,14,16.7,3,3,3,3,4,4,5,3
299,50002,CA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,1154,17.9,16,19.2,1,3,2,2,2,3,2,3
300,50006,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,No Different Than the National Rate,2339,14.4,13.5,15.6,2,3,2,3,2,3,1,2
301,50007,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,3055,12.6,11.8,14.8,4,3,3,3,3,4,3,3
302,50008,CA,Acute Care Hospitals,Voluntary non-profit - Other,No,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,654,15.1,13.7,16.5,2,2,2,3,3,2,1,2
303,50009,CA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2343,15.1,14.1,16.1,2,3,2,3,3,3,1,3
304,50013,CA,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1633,15.4,14.3,16.6,4,3,3,4,4,4,1,4
305,50014,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,876,14.6,13.3,16,3,4,3,4,3,4,4,4
306,50017,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2542,14.5,13.6,15.6,3,3,3,3,3,4,3,3
307,50022,CA,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,2574,17.2,15.8,18.1,2,2,2,2,2,2,1,1
309,50025,CA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4490,15.8,15,16.7,4,3,3,4,3,4,3,3
310,50026,CA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,5310,15.1,14.4,15.9,3,3,3,3,3,3,2,3
312,50030,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Worse Than the National Rate,4198,20.7,16.8,21.6,1,1,1,2,1,1,1,1
313,50036,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2338,16.5,15.4,17.6,2,3,2,3,2,2,2,2
314,50038,CA,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1875,15.2,14.1,16.3,2,2,3,3,2,2,1,3
315,50039,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Worse Than the National Rate,7232,16.9,15.8,17.6,3,3,4,4,3,4,1,3
316,50040,CA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,266,15.1,13.5,16.9,3,2,3,3,3,2,1,2
317,50042,CA,Acute Care Hospitals,Voluntary non-profit - Church,No,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1022,14.7,13.5,16.1,4,4,3,4,3,4,2,3
318,50043,CA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,3494,14.4,13.6,15.5,3,2,2,3,2,2,3,2
